date,commodity,price_index,volatility_score
2025-12-29,Carbon Fibre,116.7,0.26
2026-01-05,Semiconductor Memory,127.5,0.62
2026-01-05,Aluminium,108.2,0.33
2026-01-05,Copper,120.9,0.39
2026-01-05,Lithium,129.5,0.66
2026-01-05,Steel,99.3,0.28
2026-01-05,Nickel,117.7,0.44
2026-01-05,Rare Earth Elements,148.1,0.74
2026-01-05,Silicon,123.7,0.38
2026-01-05,Palladium,104.7,0.35
2026-01-05,Platinum,102.6,0.31
2026-01-05,Cobalt,129.7,0.66
2026-01-05,Magnesium,110.0,0.33
2026-01-05,Carbon Fibre,117.4,0.28
2026-01-12,Semiconductor Memory,129.2,0.56
2026-01-12,Aluminium,107.9,0.33
2026-01-12,Copper,122.5,0.41
2026-01-12,Lithium,131.7,0.66
2026-01-12,Steel,108.3,0.3
2026-01-12,Nickel,122.9,0.46
2026-01-12,Rare Earth Elements,153.4,0.7
2026-01-12,Silicon,114.4,0.38
2026-01-12,Palladium,100.5,0.3
2026-01-12,Platinum,94.6,0.33
2026-01-12,Cobalt,132.7,0.63
2026-01-12,Magnesium,117.4,0.36
2026-01-12,Carbon Fibre,118.1,0.24
2026-01-19,Semiconductor Memory,117.8,0.61
2026-01-19,Aluminium,112.3,0.36
2026-01-19,Copper,125.2,0.39
2026-01-19,Lithium,136.9,0.7
2026-01-19,Steel,106.1,0.26
2026-01-19,Nickel,114.9,0.45
2026-01-19,Rare Earth Elements,157.1,0.75
2026-01-19,Silicon,118.9,0.4
2026-01-19,Palladium,100.4,0.35
2026-01-19,Platinum,103.5,0.3
2026-01-19,Cobalt,127.2,0.62
2026-01-19,Magnesium,109.3,0.36
2026-01-19,Carbon Fibre,114.7,0.26
2026-01-26,Semiconductor Memory,132.3,0.6
2026-01-26,Aluminium,113.6,0.34
2026-01-26,Copper,115.1,0.4
2026-01-26,Lithium,140.1,0.7
2026-01-26,Steel,109.8,0.27
2026-01-26,Nickel,118.1,0.49
2026-01-26,Rare Earth Elements,153.2,0.74
2026-01-26,Silicon,116.2,0.42
2026-01-26,Palladium,104.6,0.3
2026-01-26,Platinum,95.9,0.3
2026-01-26,Cobalt,129.1,0.6
2026-01-26,Magnesium,118.6,0.36
2026-01-26,Carbon Fibre,115.8,0.23
2026-02-02,Semiconductor Memory,130.3,0.59
2026-02-02,Aluminium,116.3,0.35
2026-02-02,Copper,116.6,0.43
2026-02-02,Lithium,144.1,0.67
2026-02-02,Steel,107.5,0.28
2026-02-02,Nickel,123.7,0.46
2026-02-02,Rare Earth Elements,161.8,0.76
2026-02-02,Silicon,118.8,0.41
2026-02-02,Palladium,102.5,0.35
2026-02-02,Platinum,100.4,0.32
2026-02-02,Cobalt,125.3,0.61
2026-02-02,Magnesium,113.4,0.37
2026-02-02,Carbon Fibre,116.5,0.23
2026-02-09,Semiconductor Memory,126.3,0.58
2026-02-09,Aluminium,114.4,0.35
2026-02-09,Copper,119.6,0.4
2026-02-09,Lithium,131.5,0.7
2026-02-09,Steel,108.0,0.27
2026-02-09,Nickel,121.9,0.42
2026-02-09,Rare Earth Elements,159.8,0.74
2026-02-09,Silicon,127.0,0.38
2026-02-09,Palladium,105.9,0.34
2026-02-09,Platinum,106.4,0.3
2026-02-09,Cobalt,121.8,0.63
2026-02-09,Magnesium,113.8,0.36
2026-02-09,Carbon Fibre,122.2,0.25
2026-02-16,Semiconductor Memory,126.4,0.59
2026-02-16,Aluminium,117.0,0.34
2026-02-16,Copper,122.8,0.38
2026-02-16,Lithium,136.5,0.73
2026-02-16,Steel,105.3,0.3
2026-02-16,Nickel,120.5,0.49
2026-02-16,Rare Earth Elements,162.2,0.76
2026-02-16,Silicon,121.0,0.37
2026-02-16,Palladium,106.9,0.34
2026-02-16,Platinum,105.3,0.26
2026-02-16,Cobalt,122.6,0.64
2026-02-16,Magnesium,118.6,0.37
2026-02-16,Carbon Fibre,120.7,0.25
2026-02-23,Semiconductor Memory,120.3,0.6
2026-02-23,Aluminium,119.4,0.34
2026-02-23,Copper,123.7,0.44
2026-02-23,Lithium,129.9,0.71
2026-02-23,Steel,105.0,0.28
2026-02-23,Nickel,113.6,0.46
2026-02-23,Rare Earth Elements,157.3,0.75
2026-02-23,Silicon,118.2,0.35
2026-02-23,Palladium,109.1,0.33
2026-02-23,Platinum,98.0,0.33
2026-02-23,Cobalt,124.1,0.63
2026-02-23,Magnesium,109.9,0.31
2026-02-23,Carbon Fibre,110.7,0.28
2026-03-02,Semiconductor Memory,132.8,0.6
2026-03-02,Aluminium,109.9,0.34
2026-03-02,Copper,119.0,0.42
2026-03-02,Lithium,140.0,0.68
2026-03-02,Steel,104.8,0.32
2026-03-02,Nickel,114.7,0.45
2026-03-02,Rare Earth Elements,156.2,0.71
2026-03-02,Silicon,124.5,0.4
2026-03-02,Palladium,110.9,0.3
2026-03-02,Platinum,107.2,0.31
2026-03-02,Cobalt,126.5,0.64
2026-03-02,Magnesium,116.0,0.35
2026-03-02,Carbon Fibre,111.5,0.27
2026-03-09,Semiconductor Memory,127.0,0.63
2026-03-09,Aluminium,112.0,0.38
2026-03-09,Copper,123.1,0.4
2026-03-09,Lithium,140.4,0.7
2026-03-09,Steel,110.6,0.31
2026-03-09,Nickel,121.6,0.49
2026-03-09,Rare Earth Elements,159.3,0.77
2026-03-09,Silicon,125.9,0.37
2026-03-09,Palladium,104.2,0.33
2026-03-09,Platinum,104.5,0.26
2026-03-09,Cobalt,127.2,0.65
2026-03-09,Magnesium,109.4,0.3
2026-03-09,Carbon Fibre,118.8,0.3
2026-03-16,Semiconductor Memory,127.9,0.63
2026-03-16,Aluminium,119.8,0.33
2026-03-16,Copper,126.6,0.41
2026-03-16,Lithium,143.6,0.71
2026-03-16,Steel,106.5,0.26
2026-03-16,Nickel,126.3,0.43
2026-03-16,Rare Earth Elements,166.1,0.76
2026-03-16,Silicon,127.4,0.43
2026-03-16,Palladium,111.2,0.35
2026-03-16,Platinum,100.3,0.33
2026-03-16,Cobalt,123.1,0.63
2026-03-16,Magnesium,113.5,0.35
2026-03-16,Carbon Fibre,121.0,0.27
2026-03-23,Semiconductor Memory,132.7,0.63
2026-03-23,Aluminium,110.1,0.33
2026-03-23,Copper,115.2,0.45
2026-03-23,Lithium,139.9,0.73
2026-03-23,Steel,105.2,0.25
2026-03-23,Nickel,124.7,0.5
2026-03-23,Rare Earth Elements,154.0,0.72
2026-03-23,Silicon,119.1,0.43
2026-03-23,Palladium,103.1,0.32
2026-03-23,Platinum,97.3,0.34
2026-03-23,Cobalt,125.4,0.63
2026-03-23,Magnesium,116.8,0.35
2026-03-23,Carbon Fibre,125.2,0.25
2026-03-30,Semiconductor Memory,131.8,0.56
2026-03-30,Aluminium,114.7,0.31
2026-03-30,Copper,122.4,0.4
2026-03-30,Lithium,146.8,0.65
2026-03-30,Steel,107.5,0.29
2026-03-30,Nickel,126.8,0.49
2026-03-30,Rare Earth Elements,150.6,0.75
2026-03-30,Silicon,125.4,0.44
2026-03-30,Palladium,104.0,0.31
2026-03-30,Platinum,98.7,0.27
2026-03-30,Cobalt,136.9,0.63
2026-03-30,Magnesium,117.0,0.34
2026-03-30,Carbon Fibre,120.6,0.22
2026-04-06,Semiconductor Memory,132.9,0.57
2026-04-06,Aluminium,111.0,0.36
2026-04-06,Copper,116.5,0.44
2026-04-06,Lithium,134.7,0.66
2026-04-06,Steel,114.3,0.27
2026-04-06,Nickel,115.5,0.5
2026-04-06,Rare Earth Elements,149.2,0.77
2026-04-06,Silicon,119.8,0.36
2026-04-06,Palladium,102.9,0.29
2026-04-06,Platinum,104.8,0.26
2026-04-06,Cobalt,124.1,0.66
2026-04-06,Magnesium,111.4,0.31
2026-04-06,Carbon Fibre,114.8,0.22
2026-04-13,Semiconductor Memory,132.5,0.59
2026-04-13,Aluminium,119.9,0.35
2026-04-13,Copper,127.3,0.41
2026-04-13,Lithium,133.4,0.69
2026-04-13,Steel,115.6,0.25
2026-04-13,Nickel,125.1,0.5
2026-04-13,Rare Earth Elements,159.4,0.73
2026-04-13,Silicon,132.4,0.35
2026-04-13,Palladium,106.1,0.31
2026-04-13,Platinum,105.3,0.3
2026-04-13,Cobalt,138.7,0.59
2026-04-13,Magnesium,109.6,0.34
2026-04-13,Carbon Fibre,113.6,0.24
2026-04-20,Semiconductor Memory,131.2,0.6
2026-04-20,Aluminium,114.3,0.4
2026-04-20,Copper,124.0,0.41
2026-04-20,Lithium,142.2,0.65
2026-04-20,Steel,112.7,0.33
2026-04-20,Nickel,123.5,0.49
2026-04-20,Rare Earth Elements,163.7,0.7
2026-04-20,Silicon,125.0,0.36
2026-04-20,Palladium,104.6,0.32
2026-04-20,Platinum,102.3,0.26
2026-04-20,Cobalt,131.3,0.65
2026-04-20,Magnesium,113.9,0.3
2026-04-20,Carbon Fibre,126.3,0.22
2026-04-27,Semiconductor Memory,134.6,0.55
2026-04-27,Aluminium,111.4,0.38
2026-04-27,Copper,128.5,0.42
2026-04-27,Lithium,142.2,0.7
2026-04-27,Steel,108.1,0.25
2026-04-27,Nickel,119.5,0.48
2026-04-27,Rare Earth Elements,164.7,0.77
2026-04-27,Silicon,129.5,0.44
2026-04-27,Palladium,108.3,0.31
2026-04-27,Platinum,104.6,0.27
2026-04-27,Cobalt,135.4,0.6
2026-04-27,Magnesium,110.5,0.37
2026-04-27,Carbon Fibre,118.6,0.29
2026-05-04,Semiconductor Memory,131.0,0.63
2026-05-04,Aluminium,122.3,0.4
2026-05-04,Copper,128.9,0.42
2026-05-04,Lithium,143.5,0.64
2026-05-04,Steel,116.3,0.33
2026-05-04,Nickel,118.5,0.43
2026-05-04,Rare Earth Elements,164.2,0.71
2026-05-04,Silicon,124.0,0.34
2026-05-04,Palladium,112.0,0.33
2026-05-04,Platinum,102.6,0.26
2026-05-04,Cobalt,135.4,0.58
2026-05-04,Magnesium,119.7,0.3
2026-05-04,Carbon Fibre,119.6,0.25
2026-05-11,Semiconductor Memory,128.2,0.62
2026-05-11,Aluminium,121.6,0.36
2026-05-11,Copper,118.3,0.36
2026-05-11,Lithium,135.7,0.71
2026-05-11,Steel,113.3,0.27
2026-05-11,Nickel,124.6,0.46
2026-05-11,Rare Earth Elements,159.6,0.71
2026-05-11,Silicon,130.7,0.35
2026-05-11,Palladium,106.6,0.3
2026-05-11,Platinum,106.4,0.3
2026-05-11,Cobalt,136.3,0.58
2026-05-11,Magnesium,115.1,0.34
2026-05-11,Carbon Fibre,114.0,0.24
2026-05-18,Semiconductor Memory,126.0,0.55
2026-05-18,Aluminium,114.6,0.33
2026-05-18,Copper,117.5,0.44
2026-05-18,Lithium,136.4,0.68
2026-05-18,Steel,113.9,0.29
2026-05-18,Nickel,127.5,0.5
2026-05-18,Rare Earth Elements,152.9,0.77
2026-05-18,Silicon,120.1,0.34
2026-05-18,Palladium,113.3,0.36
2026-05-18,Platinum,105.4,0.31
2026-05-18,Cobalt,137.3,0.62
2026-05-18,Magnesium,111.5,0.28
2026-05-18,Carbon Fibre,118.9,0.3
2026-05-25,Semiconductor Memory,132.7,0.63
2026-05-25,Aluminium,124.3,0.31
2026-05-25,Copper,130.4,0.38
2026-05-25,Lithium,143.8,0.7
2026-05-25,Steel,110.1,0.27
2026-05-25,Nickel,120.5,0.44
2026-05-25,Rare Earth Elements,155.2,0.73
2026-05-25,Silicon,121.6,0.39
2026-05-25,Palladium,113.4,0.31
2026-05-25,Platinum,107.6,0.34
2026-05-25,Cobalt,139.4,0.6
2026-05-25,Magnesium,112.2,0.3
2026-05-25,Carbon Fibre,123.3,0.29
2026-06-01,Semiconductor Memory,133.7,0.56
2026-06-01,Aluminium,122.5,0.35
2026-06-01,Copper,129.3,0.44
2026-06-01,Lithium,141.8,0.74
2026-06-01,Steel,112.7,0.31
2026-06-01,Nickel,125.1,0.51
2026-06-01,Rare Earth Elements,164.5,0.69
2026-06-01,Silicon,121.2,0.39
2026-06-01,Palladium,105.8,0.3
2026-06-01,Platinum,99.4,0.3
2026-06-01,Cobalt,131.6,0.63
2026-06-01,Magnesium,111.3,0.37
2026-06-01,Carbon Fibre,115.9,0.31
2026-06-08,Semiconductor Memory,137.2,0.61
2026-06-08,Aluminium,119.1,0.35
2026-06-08,Copper,126.7,0.45
2026-06-08,Lithium,149.8,0.69
2026-06-08,Steel,116.3,0.31
2026-06-08,Nickel,120.9,0.46
2026-06-08,Rare Earth Elements,155.6,0.68
2026-06-08,Silicon,122.0,0.44
2026-06-08,Palladium,106.6,0.35
2026-06-08,Platinum,105.3,0.26
2026-06-08,Cobalt,130.9,0.63
2026-06-08,Magnesium,117.0,0.34
2026-06-08,Carbon Fibre,117.4,0.25
2026-06-15,Semiconductor Memory,128.5,0.58
2026-06-15,Aluminium,117.0,0.37
2026-06-15,Copper,130.5,0.43
2026-06-15,Lithium,135.9,0.64
2026-06-15,Steel,114.8,0.27
2026-06-15,Nickel,127.2,0.48
2026-06-15,Rare Earth Elements,170.8,0.78
2026-06-15,Silicon,125.9,0.4
2026-06-15,Palladium,104.3,0.31
2026-06-15,Platinum,111.4,0.33
2026-06-15,Cobalt,133.6,0.65
2026-06-15,Magnesium,124.4,0.31
2026-06-15,Carbon Fibre,120.9,0.3
2026-06-22,Semiconductor Memory,137.2,0.62
2026-06-22,Aluminium,124.3,0.38
2026-06-22,Copper,129.3,0.42
2026-06-22,Lithium,146.3,0.68
2026-06-22,Steel,110.8,0.28
2026-06-22,Nickel,119.4,0.43
2026-06-22,Rare Earth Elements,172.1,0.73
2026-06-22,Silicon,124.6,0.35
2026-06-22,Palladium,103.7,0.37
2026-06-22,Platinum,100.7,0.34
2026-06-22,Cobalt,141.2,0.68
2026-06-22,Magnesium,111.9,0.31
2026-06-22,Carbon Fibre,127.0,0.22
2026-06-29,Semiconductor Memory,130.6,0.55
2026-06-29,Aluminium,124.7,0.39
2026-06-29,Copper,131.5,0.37
2026-06-29,Lithium,143.0,0.68
2026-06-29,Steel,115.4,0.26
2026-06-29,Nickel,123.7,0.44
2026-06-29,Rare Earth Elements,168.6,0.73
2026-06-29,Silicon,129.7,0.37
2026-06-29,Palladium,113.6,0.32
2026-06-29,Platinum,110.3,0.29
2026-06-29,Cobalt,143.4,0.7
2026-06-29,Magnesium,118.2,0.31
2026-06-29,Carbon Fibre,121.6,0.27
