date,title,category,country,commodity,risk_level,risk_score
2026-01-15,EU sanctions on Belarus affect wire harness raw material flow — latest update,Geopolitical,Europe,NA,Low,0.4
2026-01-15,EU battery passport regulation raises compliance cost for OEMs,Policy,EU,NA,Low,0.43
2026-01-17,Palladium supply improves as Russian exports resume — industry reaction,Commodity,Global,Palladium,Low,0.39
2026-01-17,Battery gigafactory ramp drives cobalt demand beyond forecasts — analysts weigh in,Commodity,Global,Cobalt,High,0.68
2026-01-17,Korea-Japan trade relations improve semiconductor cooperation — latest update,Geopolitical,South Korea,NA,Low,0.34
2026-01-17,CHIPS Act funding accelerates US fab capacity,Policy,USA,Semiconductor Memory,Low,0.35
2026-01-19,Platinum recovers on hydrogen fuel cell demand outlook — industry reaction,Commodity,Global,Platinum,Low,0.26
2026-01-19,US-China tech decoupling accelerates semiconductor supply risk — analysts weigh in,Geopolitical,China,NA,High,0.86
2026-01-19,Vietnam trade agreement boosts electronics export stability — latest update,Geopolitical,Vietnam,NA,Low,0.33
2026-01-19,Beijing tightens control over rare earth processing,Policy,China,Rare Earth Elements,High,0.75
2026-01-21,Chinese magnesium output cuts threaten auto lightweighting — industry reaction,Commodity,Global,Magnesium,Low,0.38
2026-01-21,Taiwan Strait tensions raise shipping insurance premiums 30% — analysts weigh in,Geopolitical,Taiwan,NA,High,0.95
2026-01-21,Escalating tariff threats trigger OEM supply chain diversification — latest update,Geopolitical,Global,NA,Medium,0.52
2026-01-21,Carbon border adjustment mechanism impacts imported components,Policy,Global,NA,Low,0.39
2026-01-23,Carbon fibre supply tight for performance vehicle programmes — industry reaction,Commodity,Global,Carbon Fibre,Low,0.38
2026-01-23,Russian palladium export ban risk lifts auto catalyst prices — analysts weigh in,Geopolitical,Russia,NA,High,0.65
2026-01-23,Cross-strait military exercises disrupt Kaohsiung port operations — latest update,Geopolitical,Taiwan,NA,High,0.71
2026-01-23,FAME III subsidies drive domestic EV demand surge,Policy,India,NA,Low,0.38
2026-01-25,Polysilicon shortage spills into SiC wafer supply chain — industry reaction,Commodity,Global,Silicon,Medium,0.5
2026-01-25,Gulf tensions disrupt oil prices and freight rates — analysts weigh in,Geopolitical,Middle East,NA,Medium,0.6
2026-01-25,PLI scheme boosts domestic semiconductor component production — latest update,Policy,India,NA,Low,0.44
2026-01-25,New EU EV mandate accelerates battery localisation in Europe,Policy,EU,NA,Medium,0.47
2026-01-27,"Chilean lithium brine output rises, easing battery raw material costs — industry reaction",Commodity,Chile,Lithium,Low,0.35
2026-01-27,India-China border easing improves rare earth import outlook — analysts weigh in,Geopolitical,India,NA,Low,0.25
2026-01-27,India EV battery localisation policy accelerates cell sourcing — latest update,Policy,India,Lithium,Low,0.37
2026-01-27,Chinese tier-2 supplier quality audit reveals systemic gaps,Quality,China,NA,Medium,0.58
2026-01-29,Copper mine strikes in Peru drive spot price to record — industry reaction,Commodity,Global,Copper,Medium,0.57
2026-01-29,EU sanctions on Belarus affect wire harness raw material flow — analysts weigh in,Geopolitical,Europe,NA,Medium,0.45
2026-01-29,EU battery passport regulation raises compliance cost for OEMs — latest update,Policy,EU,NA,Low,0.38
2026-01-29,IATF 16949 recertification improves Indian supplier defect rates,Quality,India,NA,Low,0.38
2026-01-31,Battery gigafactory ramp drives cobalt demand beyond forecasts — industry reaction,Commodity,Global,Cobalt,High,0.73
2026-01-31,Korea-Japan trade relations improve semiconductor cooperation — analysts weigh in,Geopolitical,South Korea,NA,Low,0.39
2026-01-31,CHIPS Act funding accelerates US fab capacity — latest update,Policy,USA,Semiconductor Memory,Low,0.33
2026-01-31,Connector defect spike traced to Vietnam supplier batch V2234,Quality,Vietnam,NA,Medium,0.45
2026-02-02,US-China tech decoupling accelerates semiconductor supply risk — industry reaction,Geopolitical,China,NA,High,0.85
2026-02-02,Vietnam trade agreement boosts electronics export stability — analysts weigh in,Geopolitical,Vietnam,NA,Low,0.25
2026-02-02,Beijing tightens control over rare earth processing — latest update,Policy,China,Rare Earth Elements,High,0.84
2026-02-02,Welding process variation flagged across 3 EV battery plants,Quality,Global,NA,Low,0.4
2026-02-04,Taiwan Strait tensions raise shipping insurance premiums 30% — industry reaction,Geopolitical,Taiwan,NA,High,0.93
2026-02-04,Escalating tariff threats trigger OEM supply chain diversification — analysts weigh in,Geopolitical,Global,NA,Medium,0.58
2026-02-04,Carbon border adjustment mechanism impacts imported components — latest update,Policy,Global,NA,Medium,0.48
2026-02-04,Korean chipmaker achieves 6-sigma quality milestone,Quality,South Korea,NA,Low,0.25
2026-02-06,Russian palladium export ban risk lifts auto catalyst prices — industry reaction,Geopolitical,Russia,NA,Medium,0.62
2026-02-06,Cross-strait military exercises disrupt Kaohsiung port operations — analysts weigh in,Geopolitical,Taiwan,NA,High,0.83
2026-02-06,FAME III subsidies drive domestic EV demand surge — latest update,Policy,India,NA,Low,0.4
2026-02-06,Mexican tier-1 harness supplier issues voluntary recall notice,Quality,Mexico,NA,Medium,0.54
2026-02-08,Gulf tensions disrupt oil prices and freight rates — industry reaction,Geopolitical,Middle East,NA,Medium,0.63
2026-02-08,PLI scheme boosts domestic semiconductor component production — analysts weigh in,Policy,India,NA,Low,0.44
2026-02-08,New EU EV mandate accelerates battery localisation in Europe — latest update,Policy,EU,NA,Medium,0.53
2026-02-08,USD strengthening increases EM supplier invoice costs,Financial,Global,NA,Medium,0.48
2026-02-10,India-China border easing improves rare earth import outlook — industry reaction,Geopolitical,India,NA,Low,0.29
2026-02-10,India EV battery localisation policy accelerates cell sourcing — analysts weigh in,Policy,India,Lithium,Low,0.3
2026-02-10,Chinese tier-2 supplier quality audit reveals systemic gaps — latest update,Quality,China,NA,Medium,0.62
2026-02-10,Turkish lira volatility disrupts harness supplier payment terms,Financial,Turkey,NA,Medium,0.64
2026-02-12,EU sanctions on Belarus affect wire harness raw material flow — industry reaction,Geopolitical,Europe,NA,Low,0.42
2026-02-12,EU battery passport regulation raises compliance cost for OEMs — analysts weigh in,Policy,EU,NA,Medium,0.5
2026-02-12,IATF 16949 recertification improves Indian supplier defect rates — latest update,Quality,India,NA,Low,0.34
2026-02-12,Brazilian real depreciation inflates South American component costs,Financial,Brazil,NA,Medium,0.56
2026-02-14,Korea-Japan trade relations improve semiconductor cooperation — industry reaction,Geopolitical,South Korea,NA,Low,0.42
2026-02-14,CHIPS Act funding accelerates US fab capacity — analysts weigh in,Policy,USA,Semiconductor Memory,Low,0.41
2026-02-14,Connector defect spike traced to Vietnam supplier batch V2234 — latest update,Quality,Vietnam,NA,Low,0.4
2026-02-14,RBI rate cut improves Indian supplier working capital position,Financial,India,NA,Low,0.25
2026-02-16,Vietnam trade agreement boosts electronics export stability — industry reaction,Geopolitical,Vietnam,NA,Low,0.25
2026-02-16,Beijing tightens control over rare earth processing — analysts weigh in,Policy,China,Rare Earth Elements,High,0.82
2026-02-16,Welding process variation flagged across 3 EV battery plants — latest update,Quality,Global,NA,Low,0.31
2026-02-16,Chinese supplier credit tightening raises payment default risk,Financial,China,NA,Medium,0.59
2026-02-18,Escalating tariff threats trigger OEM supply chain diversification — industry reaction,Geopolitical,Global,NA,Medium,0.55
2026-02-18,Carbon border adjustment mechanism impacts imported components — analysts weigh in,Policy,Global,NA,Low,0.43
2026-02-18,Korean chipmaker achieves 6-sigma quality milestone — latest update,Quality,South Korea,NA,Low,0.33
2026-02-18,Rising interest rates strain mid-tier supplier balance sheets,Financial,Global,NA,Medium,0.51
2026-02-20,Cross-strait military exercises disrupt Kaohsiung port operations — industry reaction,Geopolitical,Taiwan,NA,High,0.73
2026-02-20,FAME III subsidies drive domestic EV demand surge — analysts weigh in,Policy,India,NA,Low,0.38
2026-02-20,Mexican tier-1 harness supplier issues voluntary recall notice — latest update,Quality,Mexico,NA,Medium,0.46
2026-02-20,German IG Metall strike threatens European auto parts output,Labour,Germany,NA,Low,0.42
2026-02-22,PLI scheme boosts domestic semiconductor component production — industry reaction,Policy,India,NA,Low,0.42
2026-02-22,New EU EV mandate accelerates battery localisation in Europe — analysts weigh in,Policy,EU,NA,Medium,0.48
2026-02-22,USD strengthening increases EM supplier invoice costs — latest update,Financial,Global,NA,Low,0.43
2026-02-22,Pune industrial belt labour shortage affects Tier-2 production,Labour,India,NA,Low,0.42
2026-02-24,India EV battery localisation policy accelerates cell sourcing — industry reaction,Policy,India,Lithium,Low,0.31
2026-02-24,Chinese tier-2 supplier quality audit reveals systemic gaps — analysts weigh in,Quality,China,NA,Medium,0.57
2026-02-24,Turkish lira volatility disrupts harness supplier payment terms — latest update,Financial,Turkey,NA,High,0.69
2026-02-24,Nuevo Leon wage hike squeezes Mexican maquiladora margins,Labour,Mexico,NA,Medium,0.53
2026-02-26,EU battery passport regulation raises compliance cost for OEMs — industry reaction,Policy,EU,NA,Low,0.39
2026-02-26,IATF 16949 recertification improves Indian supplier defect rates — analysts weigh in,Quality,India,NA,Low,0.25
2026-02-26,Brazilian real depreciation inflates South American component costs — latest update,Financial,Brazil,NA,Medium,0.59
2026-02-26,Post-CNY worker shortage delays Chinese supplier restart,Labour,China,NA,Low,0.34
2026-02-28,CHIPS Act funding accelerates US fab capacity — industry reaction,Policy,USA,Semiconductor Memory,Low,0.35
2026-02-28,Connector defect spike traced to Vietnam supplier batch V2234 — analysts weigh in,Quality,Vietnam,NA,Medium,0.47
2026-02-28,RBI rate cut improves Indian supplier working capital position — latest update,Financial,India,NA,Low,0.34
2026-02-28,Korean automotive union demands 15% wage increase for 2026,Labour,South Korea,NA,Low,0.36
2026-03-02,Beijing tightens control over rare earth processing — industry reaction,Policy,China,Rare Earth Elements,High,0.73
2026-03-02,Welding process variation flagged across 3 EV battery plants — analysts weigh in,Quality,Global,NA,Low,0.37
2026-03-02,Chinese supplier credit tightening raises payment default risk — latest update,Financial,China,NA,Medium,0.49
2026-03-02,Extreme heat disrupts outdoor logistics across South Asia,Climate,Global,NA,Low,0.39
2026-03-04,Carbon border adjustment mechanism impacts imported components — industry reaction,Policy,Global,NA,Medium,0.53
2026-03-04,Korean chipmaker achieves 6-sigma quality milestone — analysts weigh in,Quality,South Korea,NA,Low,0.25
2026-03-04,Rising interest rates strain mid-tier supplier balance sheets — latest update,Financial,Global,NA,Medium,0.51
2026-03-04,Rhine flood risk closures threaten BASF polymer supply,Climate,Germany,NA,Low,0.37
2026-03-06,FAME III subsidies drive domestic EV demand surge — industry reaction,Policy,India,NA,Low,0.3
2026-03-06,Mexican tier-1 harness supplier issues voluntary recall notice — analysts weigh in,Quality,Mexico,NA,Medium,0.54
2026-03-06,German IG Metall strike threatens European auto parts output — latest update,Labour,Germany,NA,Low,0.35
2026-03-06,Flooding disrupts Sulawesi nickel mining operations,Climate,Indonesia,NA,Medium,0.46
2026-03-08,New EU EV mandate accelerates battery localisation in Europe — industry reaction,Policy,EU,NA,Medium,0.49
2026-03-08,USD strengthening increases EM supplier invoice costs — analysts weigh in,Financial,Global,NA,Medium,0.55
2026-03-08,Pune industrial belt labour shortage affects Tier-2 production — latest update,Labour,India,NA,Low,0.35
2026-03-08,Bushfire risk near Pilbara lithium operations flagged,Climate,Australia,Lithium,Low,0.32
2026-03-10,Chinese tier-2 supplier quality audit reveals systemic gaps — industry reaction,Quality,China,NA,Medium,0.63
2026-03-10,Turkish lira volatility disrupts harness supplier payment terms — analysts weigh in,Financial,Turkey,NA,Medium,0.55
2026-03-10,Nuevo Leon wage hike squeezes Mexican maquiladora margins — latest update,Labour,Mexico,NA,Medium,0.46
2026-03-10,Monsoon delays disrupt Chennai plant inbound logistics,Climate,India,NA,Medium,0.52
2026-03-12,IATF 16949 recertification improves Indian supplier defect rates — industry reaction,Quality,India,NA,Low,0.33
2026-03-12,Brazilian real depreciation inflates South American component costs — analysts weigh in,Financial,Brazil,NA,Medium,0.62
2026-03-12,Post-CNY worker shortage delays Chinese supplier restart — latest update,Labour,China,NA,Low,0.38
2026-03-12,Typhoon season disrupts Shenzhen and Guangzhou supplier output,Climate,China,NA,Low,0.36
2026-03-14,Connector defect spike traced to Vietnam supplier batch V2234 — industry reaction,Quality,Vietnam,NA,Low,0.44
2026-03-14,RBI rate cut improves Indian supplier working capital position — analysts weigh in,Financial,India,NA,Low,0.25
2026-03-14,Korean automotive union demands 15% wage increase for 2026 — latest update,Labour,South Korea,NA,Low,0.37
2026-03-14,Euro 7 compliance timeline pressures European powertrain supply,Regulatory,EU,NA,Low,0.43
2026-03-16,Welding process variation flagged across 3 EV battery plants — industry reaction,Quality,Global,NA,Low,0.41
2026-03-16,Chinese supplier credit tightening raises payment default risk — analysts weigh in,Financial,China,NA,Medium,0.51
2026-03-16,Extreme heat disrupts outdoor logistics across South Asia — latest update,Climate,Global,NA,Medium,0.5
2026-03-16,CMVR homologation backlog delays new model launches,Regulatory,India,NA,Low,0.26
2026-03-18,Korean chipmaker achieves 6-sigma quality milestone — industry reaction,Quality,South Korea,NA,Low,0.3
2026-03-18,Rising interest rates strain mid-tier supplier balance sheets — analysts weigh in,Financial,Global,NA,Medium,0.5
2026-03-18,Rhine flood risk closures threaten BASF polymer supply — latest update,Climate,Germany,NA,Low,0.3
2026-03-18,UN R155 cybersecurity regulation impacts ECU supplier roadmaps,Regulatory,Global,NA,Medium,0.51
2026-03-20,Mexican tier-1 harness supplier issues voluntary recall notice — industry reaction,Quality,Mexico,NA,Medium,0.53
2026-03-20,German IG Metall strike threatens European auto parts output — analysts weigh in,Labour,Germany,NA,Medium,0.49
2026-03-20,Flooding disrupts Sulawesi nickel mining operations — latest update,Climate,Indonesia,NA,Medium,0.49
2026-03-20,NHTSA recall wave triggers ECU firmware re-qualification costs,Regulatory,USA,NA,Low,0.4
2026-03-22,USD strengthening increases EM supplier invoice costs — industry reaction,Financial,Global,NA,Medium,0.45
2026-03-22,Pune industrial belt labour shortage affects Tier-2 production — analysts weigh in,Labour,India,NA,Low,0.34
2026-03-22,Bushfire risk near Pilbara lithium operations flagged — latest update,Climate,Australia,Lithium,Low,0.4
2026-03-22,REACH chemical regulation tightens material approval for EV parts,Regulatory,EU,NA,Medium,0.48
2026-03-24,Turkish lira volatility disrupts harness supplier payment terms — industry reaction,Financial,Turkey,NA,Medium,0.63
2026-03-24,Nuevo Leon wage hike squeezes Mexican maquiladora margins — analysts weigh in,Labour,Mexico,NA,Low,0.42
2026-03-24,Monsoon delays disrupt Chennai plant inbound logistics — latest update,Climate,India,NA,Low,0.4
2026-03-24,BIS certification backlog delays electronic component imports,Regulatory,India,NA,Low,0.39
2026-03-26,Brazilian real depreciation inflates South American component costs — industry reaction,Financial,Brazil,NA,Medium,0.62
2026-03-26,Post-CNY worker shortage delays Chinese supplier restart — analysts weigh in,Labour,China,NA,Low,0.35
2026-03-26,Typhoon season disrupts Shenzhen and Guangzhou supplier output — latest update,Climate,China,NA,Low,0.37
2026-03-28,RBI rate cut improves Indian supplier working capital position — industry reaction,Financial,India,NA,Low,0.35
2026-03-28,Korean automotive union demands 15% wage increase for 2026 — analysts weigh in,Labour,South Korea,NA,Low,0.33
2026-03-28,Euro 7 compliance timeline pressures European powertrain supply — latest update,Regulatory,EU,NA,Medium,0.49
2026-03-30,Chinese supplier credit tightening raises payment default risk — industry reaction,Financial,China,NA,Medium,0.58
2026-03-30,Extreme heat disrupts outdoor logistics across South Asia — analysts weigh in,Climate,Global,NA,Medium,0.5
2026-03-30,CMVR homologation backlog delays new model launches — latest update,Regulatory,India,NA,Low,0.39
2026-04-01,Rising interest rates strain mid-tier supplier balance sheets — industry reaction,Financial,Global,NA,Low,0.36
2026-04-01,Rhine flood risk closures threaten BASF polymer supply — analysts weigh in,Climate,Germany,NA,Low,0.4
2026-04-01,UN R155 cybersecurity regulation impacts ECU supplier roadmaps — latest update,Regulatory,Global,NA,Medium,0.49
2026-04-03,German IG Metall strike threatens European auto parts output — industry reaction,Labour,Germany,NA,Low,0.38
2026-04-03,Flooding disrupts Sulawesi nickel mining operations — analysts weigh in,Climate,Indonesia,NA,Medium,0.48
2026-04-03,NHTSA recall wave triggers ECU firmware re-qualification costs — latest update,Regulatory,USA,NA,Low,0.37
2026-04-05,Pune industrial belt labour shortage affects Tier-2 production — industry reaction,Labour,India,NA,Low,0.41
2026-04-05,Bushfire risk near Pilbara lithium operations flagged — analysts weigh in,Climate,Australia,Lithium,Low,0.43
2026-04-05,REACH chemical regulation tightens material approval for EV parts — latest update,Regulatory,EU,NA,Medium,0.5
2026-04-07,Nuevo Leon wage hike squeezes Mexican maquiladora margins — industry reaction,Labour,Mexico,NA,Low,0.41
2026-04-07,Monsoon delays disrupt Chennai plant inbound logistics — analysts weigh in,Climate,India,NA,Medium,0.5
2026-04-07,BIS certification backlog delays electronic component imports — latest update,Regulatory,India,NA,Low,0.41
2026-04-09,Post-CNY worker shortage delays Chinese supplier restart — industry reaction,Labour,China,NA,Low,0.34
2026-04-09,Typhoon season disrupts Shenzhen and Guangzhou supplier output — analysts weigh in,Climate,China,NA,Low,0.4
2026-04-11,Korean automotive union demands 15% wage increase for 2026 — industry reaction,Labour,South Korea,NA,Low,0.36
2026-04-11,Euro 7 compliance timeline pressures European powertrain supply — analysts weigh in,Regulatory,EU,NA,Medium,0.46
2026-04-13,Extreme heat disrupts outdoor logistics across South Asia — industry reaction,Climate,Global,NA,Medium,0.49
2026-04-13,CMVR homologation backlog delays new model launches — analysts weigh in,Regulatory,India,NA,Low,0.29
2026-04-15,Rhine flood risk closures threaten BASF polymer supply — industry reaction,Climate,Germany,NA,Low,0.32
2026-04-15,UN R155 cybersecurity regulation impacts ECU supplier roadmaps — analysts weigh in,Regulatory,Global,NA,Medium,0.49
2026-04-17,Flooding disrupts Sulawesi nickel mining operations — industry reaction,Climate,Indonesia,NA,Medium,0.48
2026-04-17,NHTSA recall wave triggers ECU firmware re-qualification costs — analysts weigh in,Regulatory,USA,NA,Low,0.39
2026-04-19,Bushfire risk near Pilbara lithium operations flagged — industry reaction,Climate,Australia,Lithium,Low,0.33
2026-04-19,REACH chemical regulation tightens material approval for EV parts — analysts weigh in,Regulatory,EU,NA,Low,0.42
2026-04-21,Monsoon delays disrupt Chennai plant inbound logistics — industry reaction,Climate,India,NA,Medium,0.51
2026-04-21,BIS certification backlog delays electronic component imports — analysts weigh in,Regulatory,India,NA,Low,0.28
2026-04-23,Typhoon season disrupts Shenzhen and Guangzhou supplier output — industry reaction,Climate,China,NA,Low,0.41
2026-04-25,Euro 7 compliance timeline pressures European powertrain supply — industry reaction,Regulatory,EU,NA,Low,0.4
2026-04-27,CMVR homologation backlog delays new model launches — industry reaction,Regulatory,India,NA,Low,0.34
2026-04-29,UN R155 cybersecurity regulation impacts ECU supplier roadmaps — industry reaction,Regulatory,Global,NA,Medium,0.59
2026-05-01,NHTSA recall wave triggers ECU firmware re-qualification costs — industry reaction,Regulatory,USA,NA,Low,0.38
2026-05-03,REACH chemical regulation tightens material approval for EV parts — industry reaction,Regulatory,EU,NA,Low,0.43
2026-05-05,BIS certification backlog delays electronic component imports — industry reaction,Regulatory,India,NA,Low,0.34
