shipment_id,supplier_id,part_id,origin_country,port,route,planned_arrival,actual_arrival,delay_days,quantity,status
SH143,S024,P034,Japan,Nagoya,Nagoya-Chennai,2026-07-13,,4,1338,In Transit
SH144,S005,P040,Vietnam,HCMC,HCMC-Chennai,2026-07-16,,1,3198,In Transit
SH145,S007,P016,Japan,Nagoya,Nagoya-Chennai,2026-07-18,,2,4682,In Transit
SH146,S025,P049,India,Mumbai,Mumbai-Pune,2026-07-18,,0,4346,In Transit
SH147,S021,P036,China,Shanghai,Shanghai-Chennai,2026-07-23,,1,798,In Transit
SH148,S009,P012,Mexico,Veracruz,Veracruz-Mumbai,2026-07-22,,0,2329,In Transit
SH149,S004,P002,India,Mumbai,Mumbai-Pune,2026-07-27,,0,704,In Transit
SH150,S003,P044,South Korea,Busan,Busan-Chennai,2026-07-27,,2,1445,In Transit
SH151,S005,P043,Vietnam,HCMC,HCMC-Chennai,2026-07-29,,3,4142,In Transit
SH152,S006,P017,Taiwan,Kaohsiung,Kaohsiung-Chennai,2026-07-31,,3,612,In Transit
SH153,S024,P021,Japan,Nagoya,Nagoya-Chennai,2026-08-03,,0,3007,In Transit
SH154,S020,P045,Singapore,Singapore,Singapore-Chennai,2026-08-03,,0,505,In Transit
SH155,S008,P054,USA,Los Angeles,LA-Mumbai,2026-08-08,,0,3443,In Transit
SH156,S056,P058,China,Shanghai,Shanghai-Chennai,2026-08-08,,0,4015,In Transit
SH157,S001,P001,China,Shanghai,Shanghai-Chennai,2026-08-12,,1,2413,In Transit
SH158,S025,P029,India,Mumbai,Mumbai-Pune,2026-08-13,,0,1179,In Transit
SH159,S020,P026,Singapore,Singapore,Singapore-Chennai,2026-08-15,,1,1066,In Transit
SH160,S022,P020,China,Shanghai,Shanghai-Chennai,2026-08-19,,3,3430,In Transit
SH161,S020,P015,Singapore,Singapore,Singapore-Chennai,2026-08-17,,0,1816,In Transit
SH162,S013,P041,Poland,Gdansk,Gdansk-Chennai,2026-08-23,,0,2968,In Transit
SH163,S014,P030,Czech Republic,Hamburg,Hamburg-Mumbai,2026-08-24,,2,4854,In Transit
SH164,S010,P019,Thailand,Bangkok,Bangkok-Chennai,2026-08-24,,5,2241,In Transit
SH165,S022,P020,China,Shanghai,Shanghai-Chennai,2026-08-29,,11,3211,In Transit
SH166,S007,P022,Japan,Nagoya,Nagoya-Chennai,2026-08-28,,0,1384,In Transit
SH167,S024,P021,Japan,Nagoya,Nagoya-Chennai,2026-09-02,,0,735,In Transit
SH168,S009,P025,Mexico,Veracruz,Veracruz-Mumbai,2026-09-01,,4,3603,In Transit
SH169,S001,P001,China,Shanghai,Shanghai-Chennai,2026-09-03,,14,1682,In Transit
SH170,S005,P040,Vietnam,HCMC,HCMC-Chennai,2026-09-06,,2,1985,In Transit
SH171,S047,P060,India,Mumbai,Mumbai-Pune,2026-09-07,,1,4803,In Transit
SH172,S009,P025,Mexico,Veracruz,Veracruz-Mumbai,2026-09-09,,3,4064,In Transit
SH173,S020,P026,Singapore,Singapore,Singapore-Chennai,2026-09-11,,1,1312,In Transit
SH174,S035,P032,Sweden,Gothenburg,Gothenburg-Chennai,2026-09-14,,0,1573,In Transit
SH175,S004,P002,India,Mumbai,Mumbai-Pune,2026-09-16,,1,1476,In Transit
SH176,S003,P023,South Korea,Busan,Busan-Chennai,2026-09-17,,1,3633,In Transit
SH177,S009,P039,Mexico,Veracruz,Veracruz-Mumbai,2026-09-19,,5,3407,In Transit
SH178,S025,P049,India,Mumbai,Mumbai-Pune,2026-09-20,,0,2389,In Transit
SH179,S022,P038,China,Shanghai,Shanghai-Chennai,2026-09-23,,0,562,In Transit
SH180,S009,P012,Mexico,Veracruz,Veracruz-Mumbai,2026-09-25,,4,1370,In Transit
SH181,S006,P037,Taiwan,Kaohsiung,Kaohsiung-Chennai,2026-09-27,,0,4491,In Transit
SH182,S007,P006,Japan,Nagoya,Nagoya-Chennai,2026-10-02,,4,3298,In Transit
SH183,S013,P028,Poland,Gdansk,Gdansk-Chennai,2026-09-30,,0,2800,In Transit
SH184,S020,P045,Singapore,Singapore,Singapore-Chennai,2026-10-05,,11,3032,In Transit
SH185,S001,P001,China,Shanghai,Shanghai-Chennai,2026-10-07,,0,2840,In Transit
SH186,S004,P051,India,Mumbai,Mumbai-Pune,2026-10-08,,0,1619,In Transit
SH187,S009,P048,Mexico,Veracruz,Veracruz-Mumbai,2026-10-09,,3,4878,In Transit
SH188,S010,P050,Thailand,Bangkok,Bangkok-Chennai,2026-10-10,,7,2858,In Transit
SH189,S008,P054,USA,Los Angeles,LA-Mumbai,2026-10-13,,6,2104,In Transit
SH190,S003,P044,South Korea,Busan,Busan-Chennai,2026-10-18,,1,1157,In Transit
SH191,S005,P043,Vietnam,HCMC,HCMC-Chennai,2026-10-19,,2,978,In Transit
SH192,S003,P023,South Korea,Busan,Busan-Chennai,2026-10-19,,0,3924,In Transit
SH193,S004,P005,India,Mumbai,Mumbai-Pune,2026-10-21,,1,3130,In Transit
SH194,S033,P031,India,Mumbai,Mumbai-Pune,2026-10-26,,10,990,In Transit
SH195,S005,P010,Vietnam,HCMC,HCMC-Chennai,2026-10-25,,0,4119,In Transit
SH196,S004,P002,India,Mumbai,Mumbai-Pune,2026-10-29,,1,4002,In Transit
SH197,S014,P014,Czech Republic,Hamburg,Hamburg-Mumbai,2026-10-30,,0,3414,In Transit
SH198,S022,P038,China,Shanghai,Shanghai-Chennai,2026-10-31,,5,4733,In Transit
SH199,S003,P047,South Korea,Busan,Busan-Chennai,2026-11-03,,8,1747,In Transit
SH200,S009,P039,Mexico,Veracruz,Veracruz-Mumbai,2026-11-05,,3,2505,In Transit
SH201,S014,P030,Czech Republic,Hamburg,Hamburg-Mumbai,2026-11-07,,1,1716,In Transit
SH202,S021,P056,China,Shanghai,Shanghai-Chennai,2026-11-08,,0,1673,In Transit
SH203,S006,P017,Taiwan,Kaohsiung,Kaohsiung-Chennai,2026-11-12,,0,2209,In Transit
SH204,S004,P009,India,Mumbai,Mumbai-Pune,2026-11-14,,1,2612,In Transit
SH205,S020,P007,Singapore,Singapore,Singapore-Chennai,2026-11-16,,0,1086,In Transit
SH206,S035,P057,Sweden,Gothenburg,Gothenburg-Chennai,2026-11-17,,0,1642,In Transit
SH207,S005,P003,Vietnam,HCMC,HCMC-Chennai,2026-11-17,,1,3392,In Transit
SH208,S003,P011,South Korea,Busan,Busan-Chennai,2026-11-22,,1,4146,In Transit
SH209,S021,P056,China,Shanghai,Shanghai-Chennai,2026-11-22,,3,2790,In Transit
SH210,S024,P021,Japan,Nagoya,Nagoya-Chennai,2026-11-25,,12,3493,In Transit
SH211,S003,P044,South Korea,Busan,Busan-Chennai,2026-11-28,,0,2631,In Transit
SH212,S024,P034,Japan,Nagoya,Nagoya-Chennai,2026-11-30,,3,1808,In Transit
SH213,S003,P011,South Korea,Busan,Busan-Chennai,2026-12-01,,1,677,In Transit
SH214,S022,P020,China,Shanghai,Shanghai-Chennai,2026-12-04,,0,3885,In Transit
SH215,S022,P038,China,Shanghai,Shanghai-Chennai,2026-12-04,,4,1399,In Transit
SH216,S005,P010,Vietnam,HCMC,HCMC-Chennai,2026-12-05,,0,4164,In Transit
SH217,S035,P057,Sweden,Gothenburg,Gothenburg-Chennai,2026-12-10,,0,678,In Transit
SH218,S005,P040,Vietnam,HCMC,HCMC-Chennai,2026-12-12,,0,2706,In Transit
SH219,S021,P056,China,Shanghai,Shanghai-Chennai,2026-12-12,,5,3541,In Transit
SH220,S056,P058,China,Shanghai,Shanghai-Chennai,2026-12-13,,12,4542,In Transit
SH221,S014,P030,Czech Republic,Hamburg,Hamburg-Mumbai,2026-12-19,,8,551,In Transit
SH222,S010,P019,Thailand,Bangkok,Bangkok-Chennai,2026-12-19,,0,4298,In Transit
SH223,S022,P055,China,Shanghai,Shanghai-Chennai,2026-12-20,,10,2167,In Transit
SH224,S020,P015,Singapore,Singapore,Singapore-Chennai,2026-12-25,,1,4209,In Transit
SH225,S021,P036,China,Shanghai,Shanghai-Chennai,2026-12-24,,0,959,In Transit
SH226,S047,P060,India,Mumbai,Mumbai-Pune,2026-12-29,,0,1024,In Transit
SH227,S006,P046,Taiwan,Kaohsiung,Kaohsiung-Chennai,2026-12-30,,0,3834,In Transit
SH228,S013,P041,Poland,Gdansk,Gdansk-Chennai,2026-12-30,,1,4761,In Transit
SH229,S013,P028,Poland,Gdansk,Gdansk-Chennai,2027-01-01,,12,901,In Transit
SH230,S056,P058,China,Shanghai,Shanghai-Chennai,2027-01-06,,13,2573,In Transit
SH231,S010,P050,Thailand,Bangkok,Bangkok-Chennai,2027-01-08,,12,3621,In Transit
SH232,S004,P002,India,Mumbai,Mumbai-Pune,2027-01-10,,14,3821,In Transit
SH233,S035,P032,Sweden,Gothenburg,Gothenburg-Chennai,2027-01-08,,0,2574,In Transit
SH234,S009,P039,Mexico,Veracruz,Veracruz-Mumbai,2027-01-12,,0,1590,In Transit
SH235,S004,P002,India,Mumbai,Mumbai-Pune,2027-01-16,,11,2038,In Transit
SH236,S005,P010,Vietnam,HCMC,HCMC-Chennai,2027-01-16,,0,1266,In Transit
SH237,S033,P059,India,Mumbai,Mumbai-Pune,2027-01-20,,1,507,In Transit
SH238,S004,P005,India,Mumbai,Mumbai-Pune,2027-01-18,,0,1398,In Transit
SH239,S033,P031,India,Mumbai,Mumbai-Pune,2027-01-22,,0,991,In Transit
SH240,S021,P035,China,Shanghai,Shanghai-Chennai,2027-01-22,,9,792,In Transit
SH241,S010,P019,Thailand,Bangkok,Bangkok-Chennai,2027-01-26,,6,3653,In Transit
SH242,S056,P058,China,Shanghai,Shanghai-Chennai,2027-01-30,,0,3204,In Transit
SH243,S013,P013,Poland,Gdansk,Gdansk-Chennai,2027-02-01,,0,3041,In Transit
SH244,S014,P030,Czech Republic,Hamburg,Hamburg-Mumbai,2027-02-01,,0,844,In Transit
SH245,S005,P040,Vietnam,HCMC,HCMC-Chennai,2027-02-01,,2,4164,In Transit
SH246,S002,P008,India,Mumbai,Mumbai-Pune,2027-02-06,,1,2648,In Transit
SH247,S005,P003,Vietnam,HCMC,HCMC-Chennai,2027-02-05,,8,1341,In Transit
SH248,S020,P026,Singapore,Singapore,Singapore-Chennai,2027-02-11,,0,2172,In Transit
SH249,S033,P031,India,Mumbai,Mumbai-Pune,2027-02-09,,0,4738,In Transit
SH250,S013,P028,Poland,Gdansk,Gdansk-Chennai,2027-02-11,,9,3657,In Transit
SH251,S025,P029,India,Mumbai,Mumbai-Pune,2027-02-15,,5,4403,In Transit
SH252,S021,P056,China,Shanghai,Shanghai-Chennai,2027-02-15,,0,3226,In Transit
SH253,S021,P035,China,Shanghai,Shanghai-Chennai,2027-02-18,,0,3348,In Transit
SH254,S013,P028,Poland,Gdansk,Gdansk-Chennai,2027-02-21,,3,3527,In Transit
SH255,S007,P016,Japan,Nagoya,Nagoya-Chennai,2027-02-23,,6,4671,In Transit
SH256,S003,P011,South Korea,Busan,Busan-Chennai,2027-02-25,,7,4334,In Transit
SH257,S056,P058,China,Shanghai,Shanghai-Chennai,2027-02-28,,0,2692,In Transit
SH258,S047,P060,India,Mumbai,Mumbai-Pune,2027-03-02,,0,2204,In Transit
SH259,S001,P001,China,Shanghai,Shanghai-Chennai,2027-03-02,,7,4284,In Transit
SH260,S009,P012,Mexico,Veracruz,Veracruz-Mumbai,2027-03-06,,0,2318,In Transit
SH261,S006,P017,Taiwan,Kaohsiung,Kaohsiung-Chennai,2027-03-07,,3,3120,In Transit
SH262,S004,P009,India,Mumbai,Mumbai-Pune,2027-03-11,,0,1372,In Transit
SH263,S007,P016,Japan,Nagoya,Nagoya-Chennai,2027-03-09,,13,4365,In Transit
SH264,S004,P009,India,Mumbai,Mumbai-Pune,2027-03-11,,0,2333,In Transit
SH265,S021,P036,China,Shanghai,Shanghai-Chennai,2027-03-14,,7,1449,In Transit
SH266,S002,P008,India,Mumbai,Mumbai-Pune,2027-03-19,,7,4438,In Transit
SH267,S004,P042,India,Mumbai,Mumbai-Pune,2027-03-21,,1,4125,In Transit
SH268,S033,P059,India,Mumbai,Mumbai-Pune,2027-03-19,,4,2782,In Transit
SH269,S005,P010,Vietnam,HCMC,HCMC-Chennai,2027-03-22,,10,4460,In Transit
SH270,S022,P055,China,Shanghai,Shanghai-Chennai,2027-03-26,,3,3999,In Transit
SH271,S047,P060,India,Mumbai,Mumbai-Pune,2027-03-25,,0,4059,In Transit
SH272,S003,P023,South Korea,Busan,Busan-Chennai,2027-03-30,,0,2924,In Transit
SH273,S005,P003,Vietnam,HCMC,HCMC-Chennai,2027-04-02,,0,2855,In Transit
SH274,S010,P050,Thailand,Bangkok,Bangkok-Chennai,2027-04-02,,10,1822,In Transit
SH275,S047,P060,India,Mumbai,Mumbai-Pune,2027-04-04,,3,2107,In Transit
SH276,S010,P050,Thailand,Bangkok,Bangkok-Chennai,2027-04-07,,0,1993,In Transit
SH277,S004,P009,India,Mumbai,Mumbai-Pune,2027-04-06,2027-04-16,10,674,Cancelled
SH278,S021,P024,China,Shanghai,Shanghai-Chennai,2027-04-10,,0,910,In Transit
SH279,S025,P049,India,Mumbai,Mumbai-Pune,2027-04-10,,0,3193,In Transit
SH280,S005,P003,Vietnam,HCMC,HCMC-Chennai,2027-04-12,,7,1740,In Transit
SH281,S004,P027,India,Mumbai,Mumbai-Pune,2027-04-14,,0,2211,In Transit
SH282,S005,P043,Vietnam,HCMC,HCMC-Chennai,2027-04-18,,0,4233,In Transit
SH283,S021,P056,China,Shanghai,Shanghai-Chennai,2027-04-22,,2,2195,In Transit
SH284,S003,P023,South Korea,Busan,Busan-Chennai,2027-04-23,,0,1383,In Transit
SH285,S010,P019,Thailand,Bangkok,Bangkok-Chennai,2027-04-26,,0,4639,In Transit
SH286,S047,P060,India,Mumbai,Mumbai-Pune,2027-04-27,,1,2823,In Transit
SH287,S003,P044,South Korea,Busan,Busan-Chennai,2027-04-27,,13,1636,In Transit
SH288,S020,P053,Singapore,Singapore,Singapore-Chennai,2027-05-01,,0,4747,In Transit
SH289,S005,P010,Vietnam,HCMC,HCMC-Chennai,2027-05-02,,0,1863,In Transit
SH290,S003,P047,South Korea,Busan,Busan-Chennai,2027-05-05,,1,822,In Transit
SH291,S011,P052,Malaysia,Port Klang,Klang-Chennai,2027-05-04,,0,3704,In Transit
SH292,S005,P043,Vietnam,HCMC,HCMC-Chennai,2027-05-06,,10,643,In Transit
SH293,S024,P021,Japan,Nagoya,Nagoya-Chennai,2027-05-08,,0,1673,In Transit
SH294,S035,P032,Sweden,Gothenburg,Gothenburg-Chennai,2027-05-10,,0,967,In Transit
SH295,S035,P057,Sweden,Gothenburg,Gothenburg-Chennai,2027-05-13,,4,2278,In Transit
SH296,S009,P025,Mexico,Veracruz,Veracruz-Mumbai,2027-05-18,,0,2144,In Transit
SH297,S011,P052,Malaysia,Port Klang,Klang-Chennai,2027-05-16,,0,4811,In Transit
SH298,S020,P053,Singapore,Singapore,Singapore-Chennai,2027-05-22,,0,4132,In Transit
SH299,S024,P034,Japan,Nagoya,Nagoya-Chennai,2027-05-20,,0,867,In Transit
SH300,S009,P012,Mexico,Veracruz,Veracruz-Mumbai,2027-05-26,,0,3251,In Transit
