supplier_id,supplier_name,country,region,rating,on_time_delivery_rate,avg_delay_days,defect_rate,lead_time_days,capacity_utilization,payment_terms,risk_score
S001,ElectroChip Asia,China,East Asia,3.8,0.72,8.5,0.038,42,0.91,Net 60,79
S002,Bharat Semi Components,India,South Asia,4.5,0.91,2.1,0.014,21,0.73,Net 45,25
S003,Korea MicroSystems,South Korea,East Asia,4.2,0.87,3.4,0.018,26,0.78,Net 45,39
S004,MetalForm India,India,South Asia,4.1,0.84,3.9,0.026,18,0.81,Net 30,31
S005,ConnectAuto Vietnam,Vietnam,SEA,4.0,0.86,4.2,0.021,28,0.76,Net 45,44
S006,Taiwan AutoChips,Taiwan,East Asia,3.7,0.79,6.2,0.029,34,0.85,Net 60,61
S007,Nippon Auto Parts,Japan,East Asia,4.6,0.94,1.4,0.008,30,0.71,Net 45,28
S008,TexAuto Electronics,USA,North America,4.4,0.93,1.8,0.011,25,0.69,Net 30,26
S009,AlumexMex,Mexico,North America,4.0,0.83,4.8,0.024,22,0.79,Net 45,43
S010,ThaiAuto Supply,Thailand,SEA,4.1,0.85,3.6,0.019,24,0.77,Net 45,39
S011,Malaysian Precision,Malaysia,SEA,4.2,0.88,2.9,0.016,22,0.74,Net 45,31
S012,Jakarta Components,Indonesia,SEA,3.8,0.8,5.4,0.028,32,0.83,Net 60,56
S013,PolyConnect Poland,Poland,Eastern Europe,4.3,0.89,2.6,0.015,20,0.72,Net 45,26
S014,Bohemia Auto Tech,Czech Republic,Eastern Europe,4.4,0.91,2.2,0.012,19,0.7,Net 45,20
S015,BritAuto Systems,UK,Western Europe,4.3,0.9,2.4,0.013,21,0.72,Net 45,26
S016,Rhone-Alpes Composites,France,Western Europe,4.2,0.89,2.7,0.014,22,0.74,Net 45,28
S017,Pannonia Parts,Hungary,Eastern Europe,4.1,0.87,3.2,0.017,21,0.75,Net 45,31
S018,Rio Components,Brazil,South America,3.7,0.78,6.8,0.032,38,0.86,Net 60,67
S019,Istanbul AutoParts,Turkey,Middle East,3.6,0.76,7.4,0.036,36,0.88,Net 60,70
S020,SingaTech Electronics,Singapore,SEA,4.7,0.95,1.2,0.007,28,0.68,Net 30,23
S021,Shenzhen MegaChip,China,East Asia,3.5,0.7,9.8,0.044,45,0.93,Net 60,83
S022,Wuxi Precision Alloys,China,East Asia,3.6,0.73,8.1,0.038,38,0.9,Net 60,77
S023,Daejeon Auto Systems,South Korea,East Asia,4.3,0.88,2.8,0.015,24,0.76,Net 45,34
S024,Yaskawa Components,Japan,East Asia,4.5,0.93,1.6,0.009,28,0.7,Net 30,28
S025,Karnataka Auto Elec,India,South Asia,4.4,0.9,2.3,0.013,20,0.73,Net 45,24
S026,Tamil Nadu Precision,India,South Asia,4.3,0.89,2.7,0.015,19,0.75,Net 45,24
S027,Bucharest Parts,Romania,Eastern Europe,4.0,0.84,4.0,0.022,23,0.78,Net 45,40
S028,Belgrade Auto Supply,Serbia,Eastern Europe,3.9,0.82,4.6,0.025,25,0.8,Net 45,46
S029,Bratislava Components,Slovakia,Eastern Europe,4.2,0.88,3.0,0.016,20,0.73,Net 45,27
S030,Guadalajara AutoMex,Mexico,North America,3.9,0.81,5.1,0.027,24,0.82,Net 45,49
S031,Ho Chi Minh Tech,Vietnam,SEA,4.0,0.84,4.2,0.021,29,0.77,Net 45,46
S032,Cebu Precision Parts,Philippines,SEA,3.9,0.82,4.9,0.024,31,0.8,Net 45,52
S033,SpainAuto Components,Spain,Western Europe,4.2,0.88,2.9,0.015,21,0.73,Net 45,28
S034,MilanoAuto Tech,Italy,Western Europe,4.1,0.87,3.3,0.017,22,0.75,Net 45,32
S035,NordAuto Sweden,Sweden,Northern Europe,4.5,0.93,1.7,0.009,23,0.69,Net 30,22
S036,Amsterdam Parts,Netherlands,Western Europe,4.4,0.92,2.0,0.011,19,0.7,Net 30,18
S037,Dubai AutoSource,UAE,Middle East,4.0,0.83,4.5,0.022,26,0.78,Net 45,43
S038,Cairo Industrial Parts,Egypt,Africa,3.5,0.74,7.9,0.038,40,0.89,Net 60,74
S039,Casablanca Components,Morocco,Africa,3.7,0.79,6.4,0.031,35,0.85,Net 60,60
S040,Johannesburg AutoTech,South Africa,Africa,3.8,0.81,5.6,0.027,32,0.83,Net 60,56
S041,Lisbon Precision Works,Portugal,Western Europe,4.2,0.88,2.8,0.014,20,0.72,Net 45,26
S042,Vienna Auto Systems,Austria,Western Europe,4.3,0.9,2.4,0.012,19,0.71,Net 45,21
S043,Brussels Tech Parts,Belgium,Western Europe,4.2,0.89,2.6,0.013,20,0.72,Net 45,24
S044,Helsinki Components,Finland,Northern Europe,4.4,0.92,2.1,0.011,21,0.7,Net 30,21
S045,Copenhagen AutoParts,Denmark,Northern Europe,4.4,0.92,2.0,0.01,20,0.69,Net 30,19
S046,Oslo EV Systems,Norway,Northern Europe,4.5,0.93,1.9,0.009,22,0.68,Net 30,21
S047,Zurich Micro Systems,Switzerland,Western Europe,4.6,0.95,1.5,0.008,25,0.67,Net 30,21
S048,Tel Aviv Auto Tech,Israel,Middle East,4.1,0.86,3.5,0.019,27,0.76,Net 45,42
S049,Santiago Components,Chile,South America,3.8,0.8,5.2,0.027,30,0.82,Net 45,53
S050,Bogota Parts Supply,Colombia,South America,3.7,0.78,5.8,0.03,33,0.84,Net 60,61
S051,Buenos Aires AutoTech,Argentina,South America,3.6,0.76,7.2,0.034,36,0.87,Net 60,69
S052,Lagos Auto Components,Nigeria,Africa,3.4,0.71,8.6,0.04,42,0.91,Net 60,80
S053,Auckland Precision,New Zealand,Oceania,4.3,0.91,2.2,0.011,22,0.7,Net 45,24
S054,Colombo Tech Parts,Sri Lanka,South Asia,3.8,0.81,5.0,0.026,30,0.82,Net 45,55
S055,Almaty Auto Systems,Kazakhstan,Central Asia,3.7,0.79,6.0,0.03,34,0.85,Net 60,60
S056,Guangzhou AutoChip,China,East Asia,3.6,0.71,9.0,0.041,44,0.92,Net 60,82
S057,Chennai Semi Hub,India,South Asia,4.4,0.91,2.2,0.013,19,0.74,Net 45,21
S058,Osaka Precision Works,Japan,East Asia,4.5,0.93,1.6,0.009,27,0.71,Net 30,27
S059,Detroit AutoElec,USA,North America,4.3,0.92,1.9,0.012,24,0.7,Net 30,26
S060,Hanoi Connector Tech,Vietnam,SEA,3.9,0.83,4.5,0.022,30,0.78,Net 45,48
